SECID,BOARDID,NAME,DECIMALS,SHORTNAME,ANNUALHIGH,ANNUALLOW,CURRENCYID,CALCMODE
RUCBTRA2A3Y,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTRA2A3Y,2,RCBTRA2A3Y,131.65,110.93,RUB,TR
RUCBTRA2A5Y,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTRA2A5Y,2,RUCBTRA2A5Y,116.19,87.39,RUB,TR
RUCBTRA3YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTRA3YNS,2,RUCBTRA3YNS,165.53,133.91,RUB,TR
RUCBTRA5YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTRA5YNS,2,RUCBTRA5YNS,148.62,128.03,RUB,TR
RUCBTRAA3YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTRAA3YNS,2,RUCBTRAA3YNS,157.18,133.6,RUB,TR
RUCBTRAA5YNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTRAA5YNS,2,RUCBTRAA5YNS,144.1,108.37,RUB,TR
RUCBTRAAANS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTRAAANS,2,RUCBTRAAANS,152.0,135.49,RUB,TR
RUCBTRAANS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTRAANS,2,RUCBTRAANS,151.41,128.25,RUB,TR
RUCBTRANS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTRANS,2,RUCBTRANS,166.53,134.73,RUB,TR
RUCBTRB2B,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTRB2B,2,RUCBTRB2B,135.23,106.5,RUB,TR
RUCBTRB2B3B,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTRB2B3B,2,RUCBTRB2B3B,140.34,124.3,RUB,TR
RUCBTRBBBNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTRBBBNS,2,RUCBTRBBBNS,181.5,162.35,RUB,TR
RUCBTRNS,RTSI,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,2,RUCBTRNS,162.37,140.83,RUB,TR
RUCEU,RTSI,Индекс МосБиржи Корпоративных Российских Еврооблигаций,2,Индекс Корп. Рос. Еврооблигаций,56.31,48.64,USD,TR
RUCGI,RTSI,Национальный индекс корпоративного управления,4,Нац. индекс корп. Управления,2604.9,1818.11,RUB,Индекс акций
RUCHTR,RTSI,Индекс РТС химии и нефтехимии полной доходности «брутто»,4,RTS Chemicals Total Return,926.74,588.56,USD,
RUCHTRN,RTSI,Индекс РТС химии и нефтехимии полной доходности «нетто» (по налог.ставкам ин.орг-й),4,RTS Chemicals Net TR-NR,823.99,523.96,USD,
RUCHTRR,RTSI,Индекс РТС химии и нефтехимии полной доходности «нетто» (по налог.ставкам рос.орг-й),4,RTS Chemicals Net TR-Res,837.93,532.76,USD,
RUCNTR,RTSI,Индекс РТС потребительских товаров и розничной торговли полной доходности «брутто»,4,RTS Consumer Total Return,359.89,209.49,USD,
RUCNTRN,RTSI,Индекс РТС потребительского сектора полной доходности «нетто» (по налог.ставкам ин.орг-й),4,RTS Consumer Net TR-NR,339.12,196.44,USD,
RUCNTRR,RTSI,Индекс РТС потребительского сектора полной доходности «нетто» (по налог.ставкам рос.орг-й),4,RTS Consumer Net TR-Res,342.58,198.5,USD,
RUCNYCP,RTSI,"Индекс МосБиржи облигаций, номинированных в китайских юанях RUCNYCP",2,RUCNYCP,96.25,86.26,CNY,CP
RUCNYTR,RTSI,"Индекс МосБиржи облигаций, номинированных в китайских юанях RUCNYTR",2,RUCNYTR,108.21,94.58,CNY,TR
RUESGCP,RTSI,Индекс МосБиржи Облигаций Сектора устойчивого развития RUESGCP,2,RUESGCP,93.59,80.65,RUB,CP
RUESGTR,RTSI,Индекс МосБиржи Облигаций Сектора устойчивого развития RUESGTR,2,RUESGTR,111.92,98.67,RUB,TR
RUEU10,RTSI,"Индекс МосБиржи российских облигаций, номинированных в иностранной валюте",2,RUEU10,53.25,45.5,USD,TR
RUEUESG,RTSI,Индекс МосБиржи российских корпоративных еврооблигаций РСХБ – РСПП – Вектор устойчивого развития,2,RUEUESG,49.52,41.61,USD,TR
RUEURAIF,RTSI,Индекса МосБиржи еврооблигаций RUEURAIF,4,Индекса МосБиржи еврооблигаций RUEURAIF,126.03,23.35,USD,Совокупный д
RUEUTR,RTSI,Индекс РТС электроэнергетики полной доходности «брутто»,4,RTS El.Utilities Total Return,101.25,60.82,USD,
RUEUTRN,RTSI,Индекс РТС электроэнергетики полной доходности «нетто» (по налог.ставкам ин.орг-й),4,RTS El. Utilities Net TR-NR,93.29,55.64,USD,
RUEUTRR,RTSI,Индекс РТС электроэнергетики полной доходности «нетто» (по налог.ставкам рос.орг-й),4,RTS El. Utilities Net TR-Res,94.6,56.5,USD,
RUEYBCSCP,RTSI,Индекс МосБиржи Облигаций повышенной доходности ценовой,2,RUEYBCSCP,87.4,74.04,RUB,CP
RUEYBCSTR,RTSI,Индекс МосБиржи Облигаций повышенной доходности совокупный доход,2,RUEYBCSTR,148.25,127.36,RUB,TR
RUFLBICP,RTSI,Индекс МосБиржи Облигаций с переменным купоном RUFLBICP,2,RUFLBICP,96.65,93.19,RUB,CP
RUFLBITR,RTSI,Индекс МосБиржи Облигаций с переменным купоном RUFLBITR,2,RUFLBITR,126.04,107.26,RUB,TR
RUFLCBCP,RTSI,Индекс МосБиржи Корпоративных Облигаций RUFLCBCP,2,RUFLCBCP,99.68,93.07,RUB,CP
RUFLCBTR,RTSI,Индекс МосБиржи Корпоративных Облигаций RUFLCBTR,2,RUFLCBTR,117.72,108.76,RUB,TR
RUFLGBICP,RTSI,Индекс МосБиржи Государственных Облигаций RUFLGBICP,2,RUFLGBICP,99.62,96.39,RUB,CP
RUFLGBITR,RTSI,Индекс МосБиржи Государственных Облигаций RUFLGBITR,2,RUFLGBITR,130.5,110.15,RUB,TR
RUFNTR,RTSI,Индекс РТС финансов полной доходности «брутто»,4,RTS Financials Total Return,393.92,209.0,USD,
RUFNTRN,RTSI,Индекс РТС финансов полной доходности «нетто» (по налог.ставкам ин.орг-й),4,RTS Financials Net TR-NR,367.8,195.47,USD,
RUFNTRR,RTSI,Индекс РТС финансов полной доходности «нетто» (по налог.ставкам рос.орг-й),4,RTS Financials Net TR-Res,371.26,197.31,USD,
RUGBICP10Y,RTSI,Индекс государственных облигаций (5-10 лет),4,GBI CP 10Y,101.18,81.41,RUB,CP
RUGBICP1Y,RTSI,Индекс государственных облигаций (≤ 1 года),4,GBI CP 1Y,102.51,93.97,RUB,CP
RUGBICP3Y,RTSI,Индекс государственных облигаций (1-3 года),4,GBI CP 3Y,138.16,121.21,RUB,CP
RUGBICP5+,RTSI,Индекс государственных облигаций (> 5 лет),4,GBI CP 5+,106.33,85.61,RUB,CP
RUGBICP5Y,RTSI,Индекс государственных облигаций (3-5 лет),4,GBI CP 5Y,122.09,101.67,RUB,CP
RUGBICP5Y7Y,RTSI,Индекс МосБиржи Государственных Облигаций RUGBICP5Y7Y,2,RUGBICP5Y7Y,82.56,70.91,RUB,CP
RUGBICP7Y+,RTSI,Индекс МосБиржи Государственных Облигаций RUGBICP7Y+,2,RUGBICP7Y+,81.97,66.33,RUB,TR
RUGBINFCP,RTSI,Индекс МосБиржи Государственных Облигаций RUGBINFCP,2,RUGBINFCP,112.99,88.03,RUB,CP
RUGBINFTR,RTSI,Индекс МосБиржи Государственных Облигаций RUGBINFTR,2,RUGBINFTR,123.45,98.04,RUB,TR
RUGBITR10Y,RTSI,Индекс государственных облигаций (5-10 лет) — совокупный доход,4,GBI TR 10Y,537.18,438.58,RUB,TR
RUGBITR1Y,RTSI,Индекс государственных облигаций (≤ 1 года) — совокупный доход,4,GBI TR 1Y,264.15,228.61,RUB,TR
RUGBITR3Y,RTSI,Индекс государственных облигаций (1-3 года) — совокупный доход,4,GBI TR 3Y,681.52,580.66,RUB,TR
RUGBITR5+,RTSI,Индекс государственных облигаций (> 5 лет) — совокупный доход,4,GBI TR 5+,563.95,460.42,RUB,TR
RUGBITR5Y,RTSI,Индекс государственных облигаций (3-5 лет) — совокупный доход,4,GBI TR 5Y,609.94,496.9,RUB,TR
RUGBITR5Y7Y,RTSI,Индекс МосБиржи Государственных Облигаций RUGBITR5Y7Y,2,RUGBITR5Y7Y,103.74,85.15,RUB,TR
RUGBITR7Y+,RTSI,Индекс МосБиржи Государственных Облигаций RUGBITR7Y+,2,RUGBITR7Y+,97.97,80.88,RUB,TR
RUGROWCP,RTSI,Индекс МосБиржи Облигаций Сектора роста,2,RUGROWCP,85.95,67.58,RUB,CP
RUGROWTR,RTSI,Индекс МосБиржи Облигаций Сектора роста,2,RUGROWTR,150.8,128.9,RUB,TR
RUHYRAIF,RTSI,Райффайзен - индекс высокодоходных облигаций,2,RUHYRAIF,126.73,117.9,RUB,TR
RUITTR,RTSI,Индекс РТС информационных технологий полной доходности,2,RTS IT TR Index,105.47,51.16,USD,TR
RUITTRN,RTSI,Индекс РТС информационных технологий полной доходности «нетто» (по налог. ставкам ин. организаций),2,RTS IT Net TR-NR,105.31,50.99,USD,TR
RUITTRR,RTSI,Индекс РТС информационных технологий полной доходности «нетто» (по налог. ставкам рос. организаций),2,RTS IT Net TR-Res,105.32,50.99,USD,TR
RUMBCP3+NS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBCP3+NS,2,RUMBCP3+NS,92.35,69.97,RUB,CP
RUMBCP3A3+NS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBCP3A3+NS,2,RUMBCP3A3+NS,103.32,93.94,RUB,CP
RUMBCP3A3YNS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBCP3A3YNS,2,RUMBCP3A3YNS,99.44,86.96,RUB,CP
RUMBCP3YNS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBCP3YNS,2,RUMBCP3YNS,97.71,88.19,RUB,CP
RUMBCPA3+NS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBCPA3+NS,2,RUMBCPA3+NS,101.85,92.41,RUB,CP
RUMBCPA3YNS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBCPA3YNS,2,RUMBCPA3YNS,93.32,86.03,RUB,CP
RUMBCPAA3+NS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBCPAA3+NS,2,RUMBCPAA3+NS,102.73,90.37,RUB,CP
RUMBCPAA3YNS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBCPAA3YNS,2,RUMBCPAA3YNS,99.33,89.56,RUB,CP
RUMBCPAAANS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBCPAAANS,2,RUMBCPAAANS,94.12,82.29,RUB,CP
RUMBCPAANS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBCPAANS,2,RUMBCPAANS,96.55,84.05,RUB,CP
RUMBCPANS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBCPANS,2,RUMBCPANS,94.91,87.51,RUB,CP
RUMBCPBBBNS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBCPBBBNS,2,RUMBCPBBBNS,94.35,86.06,RUB,CP
RUMBCPNS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBCPNS,2,RUMBCPNS,95.98,84.93,RUB,CP
RUMBICP1Y,RTSI,"Индекс муниципальных облигаций (≤ 1 года, рейтинг ≥ BB-)",4,MBI CP 1Y,88.36,81.01,RUB,CP
RUMBICP3+,RTSI,"Индекс муниципальных облигаций (> 3 лет, рейтинг ≥ BB-)",4,MBI CP 3Y+,99.03,91.22,RUB,CP
RUMBICP3Y,RTSI,"Индекс муниципальных облигаций (1-3 года, рейтинг ≥ BB-)",4,MBI CP 3Y,90.53,86.97,RUB,CP
RUMBICPBB,RTSI,"Индекс муниципальных облигаций (> 1 года, BB- ≤ рейтинг < BBB-)",4,MBI CP BB,95.56,91.29,RUB,CP
RUMBICPBB3Y,RTSI,"Индекс муниципальных облигаций (1-3 года, BB- ≤ рейтинг < BBB-)",4,MBI CP BB 3Y,93.1,89.5,RUB,CP
RUMBICPBBB,RTSI,"Индекс муниципальных облигаций (> 1 года, рейтинг ≥ BBB-)",4,MBI CP BBB,93.6,88.39,RUB,CP
RUMBICPBBB3+,RTSI,"Индекс муниципальных облигаций (> 3 лет, рейтинг ≥ BB-)",4,MBI CP BBB 3+,100.54,92.22,RUB,CP
RUMBICPBBB3Y,RTSI,"Индекс муниципальных облигаций (1-3 года, рейтинг ≥ BBB-)",4,MBI TR BBB 3Y,88.53,84.41,RUB,CP
RUMBICPL1,RTSI,Индекс муниципальных облигаций Котировальный лист 1 - ценовой,4,MBI CP L1,90.23,80.54,RUB,CP
RUMBICPL3,RTSI,Индекс муниципальных облигаций Котировальный лист 3 - ценовой,2,RUMBICPL3,95.98,94.05,RUB,CP
RUMBITR1Y,RTSI,"Индекс муниципальных облигаций (≤ 1 года, рейтинг ≥ BB-) — совокупный доход",4,MBI TR 1Y,322.81,276.72,RUB,TR
RUMBITR3+,RTSI,"Индекс муниципальных облигаций (> 3 лет, рейтинг ≥ BB-) — совокупный доход",4,MBI TR 3Y+,403.31,361.82,RUB,TR
RUMBITR3Y,RTSI,"Индекс муниципальных облигаций (1-3 года, рейтинг ≥ BB-) — совокупный доход",4,MBI TR 3Y,404.03,366.22,RUB,TR
RUMBITRBB,RTSI,"Индекс муниципальных облигаций (> 1 года, BB- ≤ рейтинг < BBB-) — совокупный доход",4,MBI TR BB,415.2,375.03,RUB,TR
RUMBITRBB3Y,RTSI,"Индекс муниципальных облигаций (1-3 года, BB- ≤ рейтинг < BBB-) — совокупный доход",4,MBI TR BB 3Y,422.66,382.97,RUB,TR
RUMBITRBBB,RTSI,"Индекс муниципальных облигаций (> 1 года, рейтинг ≥ BBB-) — совокупный доход",4,MBI TR BBB,388.35,351.09,RUB,TR
RUMBITRBBB3+,RTSI,"Индекс муниципальных облигаций (> 3 лет, рейтинг ≥ BBB-) — совокупный доход",4,MBI TR BBB 3+,406.84,362.05,RUB,TR
RUMBITRBBB3Y,RTSI,"Индекс муниципальных облигаций (1-3 года, рейтинг ≥ BBB-) — совокупный доход",4,MBI TR BBB 3Y,377.64,341.36,RUB,TR
RUMBITRL1,RTSI,Индекс муниципальных облигаций Котировальный лист 1  — совокупный доход,4,MBI TR L1,297.56,259.26,RUB,TR
RUMBITRL3,RTSI,Индекс муниципальных облигаций Котировальный лист 3 — совокупный доход,2,RUMBITRL3,190.66,185.4,RUB,TR
RUMBTR3+NS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBTR3+NS,2,RUMBTR3+NS,146.66,111.52,RUB,TR
RUMBTR3A3+NS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBTR3A3+NS,2,RUMBTR3A3+NS,142.26,128.29,RUB,TR
RUMBTR3A3YNS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBTR3A3YNS,2,RUMBTR3A3YNS,157.18,134.16,RUB,TR
RUMBTR3YNS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBTR3YNS,2,RUMBTR3YNS,161.05,141.95,RUB,TR
RUMBTRA3+NS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBTRA3+NS,2,RUMBTRA3+NS,141.6,132.25,RUB,TR
RUMBTRA3YNS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBTRA3YNS,2,RUMBTRA3YNS,158.19,142.09,RUB,TR
RUMBTRAA3+NS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBTRAA3+NS,2,RUMBTRAA3+NS,137.36,127.66,RUB,TR
RUMBTRAA3YNS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBTRAA3YNS,2,RUMBTRAA3YNS,164.48,144.24,RUB,TR
RUMBTRAAANS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBTRAAANS,2,RUMBTRAAANS,148.1,126.73,RUB,TR
RUMBTRAANS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBTRAANS,2,RUMBTRAANS,157.91,133.93,RUB,TR
RUMBTRANS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBTRANS,2,RUMBTRANS,156.33,140.4,RUB,TR
RUMBTRBBBNS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBTRBBBNS,2,RUMBTRBBBNS,154.78,136.57,RUB,TR
RUMBTRNS,RTSI,Индекс МосБиржи Муниципальных Облигаций RUMBTRNS,2,RUMBTRNS,155.42,134.47,RUB,TR
RUMMTR,RTSI,Индекс РТС металлов и добычи полной доходности «брутто»,4,RTS Metals & Min Total Return,402.3,222.79,USD,
RUMMTRN,RTSI,Индекс РТС металлов и добычи полной доходности «нетто» (по налог.ставкам ин.орг-й),4,RTS Metals & Mining Net TR-NR,365.26,200.29,USD,
RUMMTRR,RTSI,Индекс РТС металлов и добычи полной доходности «нетто» (по налог.ставкам рос.орг-й),4,RTS Metals & Min Net TR-Res,370.79,203.67,USD,
RUOGTR,RTSI,Индекс РТС нефти и газа полной доходности «брутто»,4,RTS Oil & Gas Total Return,442.22,254.87,USD,
RUOGTRN,RTSI,Индекс РТС нефти и газа полной доходности «нетто» (по налог.ставкам ин.орг-й),4,RTS Oil & Gas Net TR-NR,395.99,229.2,USD,
RUOGTRR,RTSI,Индекс РТС нефти и газа полной доходности «нетто» (по налог.ставкам рос.орг-й),4,RTS Oil & Gas Net TR-Res,402.09,232.58,USD,
RUPAI,RTSI,Индексы активов пенсионных накоплений - Агрессивный,2,Агрессивный индекс,3080.99,2479.29,RUB,
RUPCI,RTSI,Индексы активов пенсионных накоплений - Консервативный,2,Консервативный индекс,3664.05,3176.8,RUB,
RUPMI,RTSI,Индексы активов пенсионных накоплений - Сбалансированный,2,Сбалансированный индекс,3294.37,2815.52,RUB,
RURETR,RTSI,Индекс РТС строительных компаний полной доходности,2,RTS RE Total Return,319.5,117.12,USD,TR
RURETRN,RTSI,Индекс РТС строительных компаний полной доходности «нетто» (по налоговым ставкам иностранных организаций),2,RTS RE Net TR-NR,315.32,115.27,USD,TR
RURETRR,RTSI,Индекс РТС строительных компаний полной доходности «нетто» (по налоговым ставкам российских организаций),2,RTS RE Net TR-RES,315.79,115.48,USD,TR
RURPLCP,RTSI,Индекс МосБиржи Замещающих Облигаций RURPLCP,2,RURPLCP,104.93,88.58,USD,CP
RURPLRUBCP,RTSI,Индекс МосБиржи Замещающих Облигаций RURPLRUBCP,2,RURPLRUBCP,140.98,113.41,RUB,CP
RURPLRUBTR,RTSI,Индекс МосБиржи Замещающих Облигаций RURPLRUBTR,2,RURPLRUBTR,155.84,123.46,RUB,TR
RURPLTR,RTSI,Индекс МосБиржи Замещающих Облигаций RURPLTR,2,RURPLTR,114.98,97.25,USD,TR
RUSFARIND,RTSI,Индекс накопленной доходности RUSFARIND,2,RUSFARIND,1964.02,1634.77,RUB,
RUSMTR,RTSI,Индекс РТС средней и малой капитализации полной доходности «брутто»,4,RTS SMID Total Return,1839.45,986.41,USD,
RUSMTRN,RTSI,Индекс РТС средней капитализации полной доходности «нетто» (по нал.ставкам ин.орг-й),4,RTS SMID Net TR-NR,1718.25,917.84,USD,
RUSMTRR,RTSI,Индекс РТС средней капитализации полной доходности «нетто» (по нал.ставкам рос.орг-й),4,RTS SMID Net TR-Res,1737.87,928.82,USD,
RUTLTR,RTSI,Индекс РТС телекоммуникаций  полной доходности «брутто»,4,RTS Telecom Total Return,202.95,99.86,USD,
RUTLTRN,RTSI,Индекс РТС телекоммуникаций  полной доходности «нетто» (по налог.ставкам ин.орг-й),4,RTS Telecom Net TR-NR,177.15,86.04,USD,
RUTLTRR,RTSI,Индекс РТС телекоммуникаций  полной доходности «нетто» (по налог.ставкам рос.орг-й),4,RTS Telecom Net TR-Res,180.86,87.95,USD,
RUTNTR,RTSI,Индекс РТС транспорта полной доходности «брутто»,4,RTS Transport Total Return,93.7,50.4,USD,
RUTNTRN,RTSI,Индекс РТС транспорта полной доходности «нетто» (по налог.ставкам ин.орг-й),4,RTS Transport Net TR-NR,87.36,46.97,USD,
RUTNTRR,RTSI,Индекс РТС транспорта полной доходности «нетто» (по налог.ставкам рос.орг-й),4,RTS Transport Net TR-Res,88.45,47.57,USD,
RVI,RTSI,Индекс волатильности RVI,4,Индекс RVI,69.46,12.53,,
SMEXP,RTSI,Внебиржевой экспортный индекс подсолнечного шрота АО НТБ,2,SMEXP,225.12,194.42,USD,PI
SOEXP,RTSI,Внебиржевой экспортный индекс подсолнечного масла АО НТБ,2,SOEXP,1142.66,764.71,USD,PI
SPBCI,RTSI,БСПБ Капитал – Корпоративные облигации 1000,2,БСПБ Корп. облигации 1000,1160.4,1111.58,RUB,TR
SPBFI,RTSI,БСПБ Капитал – ОФЗ 1000,2,БСПБ ОФЗ 1000,1114.97,1067.06,RUB,TR
SUGAROTCCEN,RTSI,Ежедневный внебиржевой индекс сахара в ЦФО,4,Внебиржевой индекс сахара в ЦФО,65145.0,51433.0,RUB,GR
SUGAROTCSOU,RTSI,Ежедневный внебиржевой индекс сахара в ЮФО,4,Внебиржевой индекс сахара в ЮФО,65450.0,51741.0,RUB,GR
SUGAROTCVOL,RTSI,Ежедневный внебиржевой индекс сахара в ПФО,4,Внебиржевой индекс сахара в ПФО,69931.0,52891.0,RUB,GR
VTBEUGEM,RTSI,"Индекс «ВТБ - Еврооблигации развивающихся рынков, номинированные в евро»",2,VTB Eurobond Index GEM EURO,105.27,78.04,EUR,
WHFOB,RTSI,Индекс пшеницы FOB регион Черного моря,1,WHFOB,248.1,213.1,USD,CP
